"Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Education","Education Code","Deaths","Population","Crude Rate","AGE","adjusted_population","Cause"
"19 years",19,"Male","M","9th through 12th grade with no diploma",2,22,"Not Applicable","Not Applicable",19,1006768.15298058,"COVID"
"19 years",19,"Male","M","High school graduate or GED completed",3,51,"Not Applicable","Not Applicable",19,3030656.07119166,"COVID"
"19 years",19,"Male","M","Some college credit, but not a degree",4,11,"Not Applicable","Not Applicable",19,2297141.35228625,"COVID"
"19 years",19,"Male","M","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",19,123659.17835161,"COVID"
"19 years",19,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",19,61372.0410585534,"COVID"
"19 years",19,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",19,4619.03442886923,"COVID"
"19 years",19,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",19,2914.11198700265,"COVID"
"20 years",20,"Female","F","8th grade or less",1,5,"Not Applicable","Not Applicable",20,60730.5187376325,"COVID"
"20 years",20,"Female","F","9th through 12th grade with no diploma",2,5,"Not Applicable","Not Applicable",20,360152.036488644,"COVID"
"20 years",20,"Female","F","High school graduate or GED completed",3,48,"Not Applicable","Not Applicable",20,2038518.95325122,"COVID"
"20 years",20,"Female","F","Some college credit, but not a degree",4,20,"Not Applicable","Not Applicable",20,3463324.24367478,"COVID"
"20 years",20,"Female","F","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",20,382555.635718766,"COVID"
"20 years",20,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",20,124045.913165546,"COVID"
"20 years",20,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",20,1959.69896341093,"COVID"
"20 years",20,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",20,NA,"COVID"
"20 years",20,"Male","M","8th grade or less",1,5,"Not Applicable","Not Applicable",20,103518.264269862,"COVID"
"20 years",20,"Male","M","9th through 12th grade with no diploma",2,16,"Not Applicable","Not Applicable",20,581189.606216513,"COVID"
"20 years",20,"Male","M","High school graduate or GED completed",3,64,"Not Applicable","Not Applicable",20,3002825.19150584,"COVID"
"20 years",20,"Male","M","Some college credit, but not a degree",4,24,"Not Applicable","Not Applicable",20,2702888.94537904,"COVID"
"20 years",20,"Male","M","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",20,241093.362768591,"COVID"
"20 years",20,"Male","M","Bachelor’s degree (BA, AB, BS)",6,5,"Not Applicable","Not Applicable",20,60542.521449236,"COVID"
"20 years",20,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",20,5232.10841091307,"COVID"
"20 years",20,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",20,NA,"COVID"
"21 years",21,"Female","F","8th grade or less",1,5,"Not Applicable","Not Applicable",21,77169.919794714,"COVID"
"21 years",21,"Female","F","9th through 12th grade with no diploma",2,10,"Not Applicable","Not Applicable",21,311686.921280249,"COVID"
"21 years",21,"Female","F","High school graduate or GED completed",3,41,"Not Applicable","Not Applicable",21,2050995.32675412,"COVID"
"21 years",21,"Female","F","Some college credit, but not a degree",4,18,"Not Applicable","Not Applicable",21,3256613.10706807,"COVID"
"21 years",21,"Female","F","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",21,578621.832743095,"COVID"
"21 years",21,"Female","F","Bachelor’s degree (BA, AB, BS)",6,5,"Not Applicable","Not Applicable",21,269766.892292999,"COVID"
"21 years",21,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",21,14573.3312551533,"COVID"
"21 years",21,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",21,2999.66881159283,"COVID"
"21 years",21,"Male","M","8th grade or less",1,5,"Not Applicable","Not Applicable",21,82471.3590755335,"COVID"
"21 years",21,"Male","M","9th through 12th grade with no diploma",2,18,"Not Applicable","Not Applicable",21,371722.622552518,"COVID"
"21 years",21,"Male","M","High school graduate or GED completed",3,71,"Not Applicable","Not Applicable",21,2876949.64485747,"COVID"
"21 years",21,"Male","M","Some college credit, but not a degree",4,29,"Not Applicable","Not Applicable",21,2797108.77575923,"COVID"
"21 years",21,"Male","M","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",21,497010.802478614,"COVID"
"21 years",21,"Male","M","Bachelor’s degree (BA, AB, BS)",6,5,"Not Applicable","Not Applicable",21,202761.120758503,"COVID"
"21 years",21,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",21,3226.67451812894,"COVID"
"21 years",21,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",21,NA,"COVID"
"22 years",22,"Female","F","8th grade or less",1,5,"Not Applicable","Not Applicable",22,67921.0019111393,"COVID"
"22 years",22,"Female","F","9th through 12th grade with no diploma",2,11,"Not Applicable","Not Applicable",22,295951.166645519,"COVID"
"22 years",22,"Female","F","High school graduate or GED completed",3,63,"Not Applicable","Not Applicable",22,1926557.24242285,"COVID"
"22 years",22,"Female","F","Some college credit, but not a degree",4,29,"Not Applicable","Not Applicable",22,2282649.77875232,"COVID"
"22 years",22,"Female","F","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",22,670308.071378527,"COVID"
"22 years",22,"Female","F","Bachelor’s degree (BA, AB, BS)",6,5,"Not Applicable","Not Applicable",22,1232478.75244019,"COVID"
"22 years",22,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",22,45797.1429470174,"COVID"
"22 years",22,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",22,10253.8435024328,"COVID"
"22 years",22,"Male","M","8th grade or less",1,5,"Not Applicable","Not Applicable",22,96625.1929741854,"COVID"
"22 years",22,"Male","M","9th through 12th grade with no diploma",2,18,"Not Applicable","Not Applicable",22,422111.401714836,"COVID"
"22 years",22,"Male","M","High school graduate or GED completed",3,93,"Not Applicable","Not Applicable",22,2448219.33419332,"COVID"
"22 years",22,"Male","M","Some college credit, but not a degree",4,25,"Not Applicable","Not Applicable",22,2459334.29635703,"COVID"
"22 years",22,"Male","M","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",22,566966.584876756,"COVID"
"22 years",22,"Male","M","Bachelor’s degree (BA, AB, BS)",6,5,"Not Applicable","Not Applicable",22,775870.188671564,"COVID"
"22 years",22,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",22,33870.2628702239,"COVID"
"22 years",22,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",22,9835.73834208597,"COVID"
"23 years",23,"Female","F","8th grade or less",1,5,"Not Applicable","Not Applicable",23,64263.9895086472,"COVID"
"23 years",23,"Female","F","9th through 12th grade with no diploma",2,11,"Not Applicable","Not Applicable",23,289790.475194387,"COVID"
"23 years",23,"Female","F","High school graduate or GED completed",3,76,"Not Applicable","Not Applicable",23,1785977.31582288,"COVID"
"23 years",23,"Female","F","Some college credit, but not a degree",4,21,"Not Applicable","Not Applicable",23,1502532.73736683,"COVID"
"23 years",23,"Female","F","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",23,545754.264337684,"COVID"
"23 years",23,"Female","F","Bachelor’s degree (BA, AB, BS)",6,5,"Not Applicable","Not Applicable",23,2088066.0314183,"COVID"
"23 years",23,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",23,148337.814256646,"COVID"
"23 years",23,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",23,15952.3720946255,"COVID"
"23 years",23,"Male","M","8th grade or less",1,5,"Not Applicable","Not Applicable",23,74322.4475398463,"COVID"
"23 years",23,"Male","M","9th through 12th grade with no diploma",2,17,"Not Applicable","Not Applicable",23,345849.28695253,"COVID"
"23 years",23,"Male","M","High school graduate or GED completed",3,105,"Not Applicable","Not Applicable",23,2379611.29472384,"COVID"
"23 years",23,"Male","M","Some college credit, but not a degree",4,39,"Not Applicable","Not Applicable",23,1781399.12889413,"COVID"
"23 years",23,"Male","M","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",23,511249.374102366,"COVID"
"23 years",23,"Male","M","Bachelor’s degree (BA, AB, BS)",6,5,"Not Applicable","Not Applicable",23,1509015.41226686,"COVID"
"23 years",23,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",23,97397.6027846493,"COVID"
"23 years",23,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",23,20658.4527357738,"COVID"
"24 years",24,"Female","F","8th grade or less",1,5,"Not Applicable","Not Applicable",24,41544.8997145208,"COVID"
"24 years",24,"Female","F","9th through 12th grade with no diploma",2,5,"Not Applicable","Not Applicable",24,237625.99716455,"COVID"
"24 years",24,"Female","F","High school graduate or GED completed",3,69,"Not Applicable","Not Applicable",24,1678199.59994315,"COVID"
"24 years",24,"Female","F","Some college credit, but not a degree",4,28,"Not Applicable","Not Applicable",24,1219783.30462927,"COVID"
"24 years",24,"Female","F","Associate degree (AA,AS)",5,16,"Not Applicable","Not Applicable",24,660047.148631027,"COVID"
"24 years",24,"Female","F","Bachelor’s degree (BA, AB, BS)",6,21,"Not Applicable","Not Applicable",24,2242564.19943247,"COVID"
"24 years",24,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",24,270913.044372815,"COVID"
"24 years",24,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",24,21926.8061122011,"COVID"
"24 years",24,"Male","M","8th grade or less",1,11,"Not Applicable","Not Applicable",24,115868.740486439,"COVID"
"24 years",24,"Male","M","9th through 12th grade with no diploma",2,38,"Not Applicable","Not Applicable",24,341388.76720937,"COVID"
"24 years",24,"Male","M","High school graduate or GED completed",3,133,"Not Applicable","Not Applicable",24,2246796.98444545,"COVID"
"24 years",24,"Male","M","Some college credit, but not a degree",4,38,"Not Applicable","Not Applicable",24,1322681.01694967,"COVID"
"24 years",24,"Male","M","Associate degree (AA,AS)",5,5,"Not Applicable","Not Applicable",24,564848.683478623,"COVID"
"24 years",24,"Male","M","Bachelor’s degree (BA, AB, BS)",6,15,"Not Applicable","Not Applicable",24,1866817.64668391,"COVID"
"24 years",24,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",24,170715.217094216,"COVID"
"24 years",24,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",24,12042.9436523223,"COVID"
"25 years",25,"Female","F","8th grade or less",1,5,"Not Applicable","Not Applicable",25,84736.0503295805,"COVID"
"25 years",25,"Female","F","9th through 12th grade with no diploma",2,14,"Not Applicable","Not Applicable",25,267536.875795592,"COVID"
"25 years",25,"Female","F","High school graduate or GED completed",3,83,"Not Applicable","Not Applicable",25,1628419.76497891,"COVID"
"25 years",25,"Female","F","Some college credit, but not a degree",4,28,"Not Applicable","Not Applicable",25,1093509.28982486,"COVID"
"25 years",25,"Female","F","Associate degree (AA,AS)",5,11,"Not Applicable","Not Applicable",25,592192.18022198,"COVID"
"25 years",25,"Female","F","Bachelor’s degree (BA, AB, BS)",6,18,"Not Applicable","Not Applicable",25,2116902.45970402,"COVID"
"25 years",25,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",25,500394.296837773,"COVID"
"25 years",25,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",25,79435.0823072903,"COVID"
"25 years",25,"Male","M","8th grade or less",1,11,"Not Applicable","Not Applicable",25,124356.551862543,"COVID"
"25 years",25,"Male","M","9th through 12th grade with no diploma",2,28,"Not Applicable","Not Applicable",25,289436.763237645,"COVID"
"25 years",25,"Male","M","High school graduate or GED completed",3,133,"Not Applicable","Not Applicable",25,2272726.55214729,"COVID"
"25 years",25,"Male","M","Some college credit, but not a degree",4,42,"Not Applicable","Not Applicable",25,1234981.34910756,"COVID"
"25 years",25,"Male","M","Associate degree (AA,AS)",5,18,"Not Applicable","Not Applicable",25,539009.939197634,"COVID"
"25 years",25,"Male","M","Bachelor’s degree (BA, AB, BS)",6,11,"Not Applicable","Not Applicable",25,1864410.31689751,"COVID"
"25 years",25,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",25,255147.077072976,"COVID"
"25 years",25,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",25,42354.4504768495,"COVID"
"26 years",26,"Female","F","8th grade or less",1,5,"Not Applicable","Not Applicable",26,65885.639784816,"COVID"
"26 years",26,"Female","F","9th through 12th grade with no diploma",2,21,"Not Applicable","Not Applicable",26,220793.94681987,"COVID"
"26 years",26,"Female","F","High school graduate or GED completed",3,85,"Not Applicable","Not Applicable",26,1515434.63935058,"COVID"
"26 years",26,"Female","F","Some college credit, but not a degree",4,38,"Not Applicable","Not Applicable",26,1016746.8635969,"COVID"
"26 years",26,"Female","F","Associate degree (AA,AS)",5,10,"Not Applicable","Not Applicable",26,656237.879906087,"COVID"
"26 years",26,"Female","F","Bachelor’s degree (BA, AB, BS)",6,10,"Not Applicable","Not Applicable",26,2288026.29053157,"COVID"
"26 years",26,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",26,560657.2455675,"COVID"
"26 years",26,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",26,92307.4944426803,"COVID"
"26 years",26,"Male","M","8th grade or less",1,14,"Not Applicable","Not Applicable",26,128734.913380844,"COVID"
"26 years",26,"Male","M","9th through 12th grade with no diploma",2,34,"Not Applicable","Not Applicable",26,315207.312265824,"COVID"
"26 years",26,"Male","M","High school graduate or GED completed",3,167,"Not Applicable","Not Applicable",26,2173784.65822729,"COVID"
"26 years",26,"Male","M","Some college credit, but not a degree",4,37,"Not Applicable","Not Applicable",26,1191469.26724796,"COVID"
"26 years",26,"Male","M","Associate degree (AA,AS)",5,18,"Not Applicable","Not Applicable",26,596853.754405078,"COVID"
"26 years",26,"Male","M","Bachelor’s degree (BA, AB, BS)",6,23,"Not Applicable","Not Applicable",26,1787738.43944981,"COVID"
"26 years",26,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",26,387276.883486797,"COVID"
"26 years",26,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",26,81834.7715364019,"COVID"
"27 years",27,"Female","F","8th grade or less",1,5,"Not Applicable","Not Applicable",27,87687.5867230832,"COVID"
"27 years",27,"Female","F","9th through 12th grade with no diploma",2,18,"Not Applicable","Not Applicable",27,240392.186278126,"COVID"
"27 years",27,"Female","F","High school graduate or GED completed",3,101,"Not Applicable","Not Applicable",27,1688806.99061861,"COVID"
"27 years",27,"Female","F","Some college credit, but not a degree",4,30,"Not Applicable","Not Applicable",27,963423.831950523,"COVID"
"27 years",27,"Female","F","Associate degree (AA,AS)",5,20,"Not Applicable","Not Applicable",27,644129.297885258,"COVID"
"27 years",27,"Female","F","Bachelor’s degree (BA, AB, BS)",6,23,"Not Applicable","Not Applicable",27,1990146.12855367,"COVID"
"27 years",27,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",27,754484.857997986,"COVID"
"27 years",27,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",27,143590.119992745,"COVID"
"27 years",27,"Male","M","8th grade or less",1,14,"Not Applicable","Not Applicable",27,96308.0830324773,"COVID"
"27 years",27,"Male","M","9th through 12th grade with no diploma",2,32,"Not Applicable","Not Applicable",27,306587.789650382,"COVID"
"27 years",27,"Male","M","High school graduate or GED completed",3,190,"Not Applicable","Not Applicable",27,2257372.15277618,"COVID"
"27 years",27,"Male","M","Some college credit, but not a degree",4,52,"Not Applicable","Not Applicable",27,1108962.87581434,"COVID"
"27 years",27,"Male","M","Associate degree (AA,AS)",5,21,"Not Applicable","Not Applicable",27,580297.162789692,"COVID"
"27 years",27,"Male","M","Bachelor’s degree (BA, AB, BS)",6,17,"Not Applicable","Not Applicable",27,1813521.87931505,"COVID"
"27 years",27,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",27,462082.644753491,"COVID"
"27 years",27,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",27,131562.411868386,"COVID"
"28 years",28,"Female","F","8th grade or less",1,10,"Not Applicable","Not Applicable",28,78702.8940137016,"COVID"
"28 years",28,"Female","F","9th through 12th grade with no diploma",2,22,"Not Applicable","Not Applicable",28,217675.34418671,"COVID"
"28 years",28,"Female","F","High school graduate or GED completed",3,100,"Not Applicable","Not Applicable",28,1515348.51486477,"COVID"
"28 years",28,"Female","F","Some college credit, but not a degree",4,43,"Not Applicable","Not Applicable",28,1056317.68441567,"COVID"
"28 years",28,"Female","F","Associate degree (AA,AS)",5,24,"Not Applicable","Not Applicable",28,851773.311737773,"COVID"
"28 years",28,"Female","F","Bachelor’s degree (BA, AB, BS)",6,24,"Not Applicable","Not Applicable",28,1974917.87287237,"COVID"
"28 years",28,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",28,762266.686378536,"COVID"
"28 years",28,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",28,175358.691530479,"COVID"
"28 years",28,"Male","M","8th grade or less",1,18,"Not Applicable","Not Applicable",28,131693.486300977,"COVID"
"28 years",28,"Male","M","9th through 12th grade with no diploma",2,45,"Not Applicable","Not Applicable",28,310676.290651238,"COVID"
"28 years",28,"Male","M","High school graduate or GED completed",3,234,"Not Applicable","Not Applicable",28,2223510.5235856,"COVID"
"28 years",28,"Male","M","Some college credit, but not a degree",4,63,"Not Applicable","Not Applicable",28,1099289.69920797,"COVID"
"28 years",28,"Male","M","Associate degree (AA,AS)",5,37,"Not Applicable","Not Applicable",28,536169.419020267,"COVID"
"28 years",28,"Male","M","Bachelor’s degree (BA, AB, BS)",6,24,"Not Applicable","Not Applicable",28,1898613.3773512,"COVID"
"28 years",28,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",28,516364.429694548,"COVID"
"28 years",28,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",28,153588.774188209,"COVID"
"29 years",29,"Female","F","8th grade or less",1,10,"Not Applicable","Not Applicable",29,72987.1692449835,"COVID"
"29 years",29,"Female","F","9th through 12th grade with no diploma",2,23,"Not Applicable","Not Applicable",29,240011.656236476,"COVID"
"29 years",29,"Female","F","High school graduate or GED completed",3,126,"Not Applicable","Not Applicable",29,1620139.73113876,"COVID"
"29 years",29,"Female","F","Some college credit, but not a degree",4,42,"Not Applicable","Not Applicable",29,1007286.41823693,"COVID"
"29 years",29,"Female","F","Associate degree (AA,AS)",5,18,"Not Applicable","Not Applicable",29,762522.8026513,"COVID"
"29 years",29,"Female","F","Bachelor’s degree (BA, AB, BS)",6,30,"Not Applicable","Not Applicable",29,2068027.57099811,"COVID"
"29 years",29,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",29,807223.666336752,"COVID"
"29 years",29,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",29,193865.985156693,"COVID"
"29 years",29,"Male","M","8th grade or less",1,22,"Not Applicable","Not Applicable",29,114549.004693549,"COVID"
"29 years",29,"Male","M","9th through 12th grade with no diploma",2,36,"Not Applicable","Not Applicable",29,329013.833709287,"COVID"
"29 years",29,"Male","M","High school graduate or GED completed",3,253,"Not Applicable","Not Applicable",29,2157243.41500907,"COVID"
"29 years",29,"Male","M","Some college credit, but not a degree",4,97,"Not Applicable","Not Applicable",29,1197368.69027112,"COVID"
"29 years",29,"Male","M","Associate degree (AA,AS)",5,27,"Not Applicable","Not Applicable",29,666048.172439591,"COVID"
"29 years",29,"Male","M","Bachelor’s degree (BA, AB, BS)",6,31,"Not Applicable","Not Applicable",29,1912621.55963876,"COVID"
"29 years",29,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",29,484180.857661334,"COVID"
"29 years",29,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",29,134748.466577285,"COVID"
"30 years",30,"Female","F","8th grade or less",1,11,"Not Applicable","Not Applicable",30,94678.5353130242,"COVID"
"30 years",30,"Female","F","9th through 12th grade with no diploma",2,30,"Not Applicable","Not Applicable",30,248326.134758627,"COVID"
"30 years",30,"Female","F","High school graduate or GED completed",3,152,"Not Applicable","Not Applicable",30,1605930.21731957,"COVID"
"30 years",30,"Female","F","Some college credit, but not a degree",4,57,"Not Applicable","Not Applicable",30,1098906.2737323,"COVID"
"30 years",30,"Female","F","Associate degree (AA,AS)",5,29,"Not Applicable","Not Applicable",30,778402.294195779,"COVID"
"30 years",30,"Female","F","Bachelor’s degree (BA, AB, BS)",6,28,"Not Applicable","Not Applicable",30,1964538.53235213,"COVID"
"30 years",30,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",30,902372.71481416,"COVID"
"30 years",30,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",30,212215.297514407,"COVID"
"30 years",30,"Male","M","8th grade or less",1,17,"Not Applicable","Not Applicable",30,137294.70340322,"COVID"
"30 years",30,"Male","M","9th through 12th grade with no diploma",2,45,"Not Applicable","Not Applicable",30,336270.981726794,"COVID"
"30 years",30,"Male","M","High school graduate or GED completed",3,279,"Not Applicable","Not Applicable",30,2151464.17096331,"COVID"
"30 years",30,"Male","M","Some college credit, but not a degree",4,106,"Not Applicable","Not Applicable",30,1236216.0165225,"COVID"
"30 years",30,"Male","M","Associate degree (AA,AS)",5,34,"Not Applicable","Not Applicable",30,542883.415805724,"COVID"
"30 years",30,"Male","M","Bachelor’s degree (BA, AB, BS)",6,51,"Not Applicable","Not Applicable",30,1920474.13781043,"COVID"
"30 years",30,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",30,572936.528337881,"COVID"
"30 years",30,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",30,207696.045430142,"COVID"
"31 years",31,"Female","F","8th grade or less",1,10,"Not Applicable","Not Applicable",31,110844.714616604,"COVID"
"31 years",31,"Female","F","9th through 12th grade with no diploma",2,40,"Not Applicable","Not Applicable",31,298955.164940301,"COVID"
"31 years",31,"Female","F","High school graduate or GED completed",3,175,"Not Applicable","Not Applicable",31,1590999.60585596,"COVID"
"31 years",31,"Female","F","Some college credit, but not a degree",4,70,"Not Applicable","Not Applicable",31,921059.667175291,"COVID"
"31 years",31,"Female","F","Associate degree (AA,AS)",5,41,"Not Applicable","Not Applicable",31,754528.681854761,"COVID"
"31 years",31,"Female","F","Bachelor’s degree (BA, AB, BS)",6,26,"Not Applicable","Not Applicable",31,2104643.90899886,"COVID"
"31 years",31,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,11,"Not Applicable","Not Applicable",31,957408.174534488,"COVID"
"31 years",31,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",31,271441.082023736,"COVID"
"31 years",31,"Male","M","8th grade or less",1,27,"Not Applicable","Not Applicable",31,137274.473199474,"COVID"
"31 years",31,"Male","M","9th through 12th grade with no diploma",2,67,"Not Applicable","Not Applicable",31,377914.179489674,"COVID"
"31 years",31,"Male","M","High school graduate or GED completed",3,267,"Not Applicable","Not Applicable",31,2072854.62940656,"COVID"
"31 years",31,"Male","M","Some college credit, but not a degree",4,116,"Not Applicable","Not Applicable",31,1127204.5064976,"COVID"
"31 years",31,"Male","M","Associate degree (AA,AS)",5,39,"Not Applicable","Not Applicable",31,727781.910777899,"COVID"
"31 years",31,"Male","M","Bachelor’s degree (BA, AB, BS)",6,53,"Not Applicable","Not Applicable",31,1874264.05208816,"COVID"
"31 years",31,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,10,"Not Applicable","Not Applicable",31,642097.775958995,"COVID"
"31 years",31,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",31,223993.472581626,"COVID"
"32 years",32,"Female","F","8th grade or less",1,10,"Not Applicable","Not Applicable",32,80654.590319381,"COVID"
"32 years",32,"Female","F","9th through 12th grade with no diploma",2,42,"Not Applicable","Not Applicable",32,288684.314205272,"COVID"
"32 years",32,"Female","F","High school graduate or GED completed",3,171,"Not Applicable","Not Applicable",32,1543605.62281227,"COVID"
"32 years",32,"Female","F","Some college credit, but not a degree",4,83,"Not Applicable","Not Applicable",32,952100.295027066,"COVID"
"32 years",32,"Female","F","Associate degree (AA,AS)",5,45,"Not Applicable","Not Applicable",32,769406.765353643,"COVID"
"32 years",32,"Female","F","Bachelor’s degree (BA, AB, BS)",6,38,"Not Applicable","Not Applicable",32,2069914.01610604,"COVID"
"32 years",32,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5,"Not Applicable","Not Applicable",32,996832.595013267,"COVID"
"32 years",32,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,5,"Not Applicable","Not Applicable",32,287357.801163068,"COVID"
"32 years",32,"Male","M","8th grade or less",1,32,"Not Applicable","Not Applicable",32,159271.099785033,"COVID"
"32 years",32,"Male","M","9th through 12th grade with no diploma",2,62,"Not Applicable","Not Applicable",32,332847.657380747,"COVID"
"32 years",32,"Male","M","High school graduate or GED completed",3,326,"Not Applicable","Not Applicable",32,2014306.94504125,"COVID"
"32 years",32,"Male","M","Some college credit, but not a degree",4,105,"Not Applicable","Not Applicable",32,1040411.23481035,"COVID"
