"Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Education","Education Code","Deaths","Population","Crude Rate","AGE","population","Cause"
"23 years","23","Female","F","Some college credit, but not a degree",4,390,"Not Applicable","Not Applicable",23,1587021.0501,"Accidents"
"23 years","23","Female","F","Associate degree (AA,AS)",5,92,"Not Applicable","Not Applicable",23,576442.3524,"Accidents"
"23 years","23","Female","F","Bachelor’s degree (BA, AB, BS)",6,120,"Not Applicable","Not Applicable",23,2205479.2308,"Accidents"
"23 years","23","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,10,"Not Applicable","Not Applicable",23,156678.9381,"Accidents"
"23 years","23","Male","M","8th grade or less",1,169,"Not Applicable","Not Applicable",23,74600.2543,"Accidents"
"23 years","23","Male","M","9th through 12th grade with no diploma",2,838,"Not Applicable","Not Applicable",23,347142.0225,"Accidents"
"23 years","23","Male","M","High school graduate or GED completed",3,2413,"Not Applicable","Not Applicable",23,2388505.944,"Accidents"
"23 years","23","Male","M","Some college credit, but not a degree",4,747,"Not Applicable","Not Applicable",23,1788057.746,"Accidents"
"23 years","23","Male","M","Associate degree (AA,AS)",5,178,"Not Applicable","Not Applicable",23,513160.3517,"Accidents"
"23 years","23","Male","M","Bachelor’s degree (BA, AB, BS)",6,227,"Not Applicable","Not Applicable",23,1514655.8977,"Accidents"
"23 years","23","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,22,"Not Applicable","Not Applicable",23,97761.6612,"Accidents"
"24 years","24","Female","F","8th grade or less",1,29,"Not Applicable","Not Applicable",24,41215.4681,"Accidents"
"24 years","24","Female","F","9th through 12th grade with no diploma",2,308,"Not Applicable","Not Applicable",24,235741.7342,"Accidents"
"24 years","24","Female","F","High school graduate or GED completed",3,866,"Not Applicable","Not Applicable",24,1664892.2624,"Accidents"
"24 years","24","Female","F","Some college credit, but not a degree",4,356,"Not Applicable","Not Applicable",24,1210110.9938,"Accidents"
"24 years","24","Female","F","Associate degree (AA,AS)",5,87,"Not Applicable","Not Applicable",24,654813.2836,"Accidents"
"24 years","24","Female","F","Bachelor’s degree (BA, AB, BS)",6,144,"Not Applicable","Not Applicable",24,2224781.7147,"Accidents"
"24 years","24","Male","M","8th grade or less",1,171,"Not Applicable","Not Applicable",24,114940.8361,"Accidents"
"24 years","24","Male","M","9th through 12th grade with no diploma",2,866,"Not Applicable","Not Applicable",24,338654.8449,"Accidents"
"24 years","24","Male","M","High school graduate or GED completed",3,2612,"Not Applicable","Not Applicable",24,2228804.1007,"Accidents"
"24 years","24","Male","M","Some college credit, but not a degree",4,737,"Not Applicable","Not Applicable",24,1312088.6733,"Accidents"
"24 years","24","Male","M","Associate degree (AA,AS)",5,192,"Not Applicable","Not Applicable",24,560325.2411,"Accidents"
"24 years","24","Male","M","Bachelor’s degree (BA, AB, BS)",6,277,"Not Applicable","Not Applicable",24,1851867.7277,"Accidents"
"24 years","24","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,19,"Not Applicable","Not Applicable",24,169348.0891,"Accidents"
"25 years","25","Female","F","8th grade or less",1,39,"Not Applicable","Not Applicable",25,83220.8896,"Accidents"
"25 years","25","Female","F","9th through 12th grade with no diploma",2,319,"Not Applicable","Not Applicable",25,262753.0634,"Accidents"
"25 years","25","Female","F","High school graduate or GED completed",3,933,"Not Applicable","Not Applicable",25,1599302.0793,"Accidents"
"25 years","25","Female","F","Some college credit, but not a degree",4,350,"Not Applicable","Not Applicable",25,1073956.3094,"Accidents"
"25 years","25","Female","F","Associate degree (AA,AS)",5,120,"Not Applicable","Not Applicable",25,581603.2239,"Accidents"
"25 years","25","Female","F","Bachelor’s degree (BA, AB, BS)",6,161,"Not Applicable","Not Applicable",25,2079050.2414,"Accidents"
"25 years","25","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,13,"Not Applicable","Not Applicable",25,491446.7735,"Accidents"
"25 years","25","Male","M","8th grade or less",1,177,"Not Applicable","Not Applicable",25,124893.4762,"Accidents"
"25 years","25","Male","M","9th through 12th grade with no diploma",2,920,"Not Applicable","Not Applicable",25,290686.4412,"Accidents"
"25 years","25","Male","M","High school graduate or GED completed",3,2908,"Not Applicable","Not Applicable",25,2282539.3218,"Accidents"
"25 years","25","Male","M","Some college credit, but not a degree",4,806,"Not Applicable","Not Applicable",25,1240313.5293,"Accidents"
"25 years","25","Male","M","Associate degree (AA,AS)",5,230,"Not Applicable","Not Applicable",25,541337.1793,"Accidents"
"25 years","25","Male","M","Bachelor’s degree (BA, AB, BS)",6,281,"Not Applicable","Not Applicable",25,1872460.1322,"Accidents"
"25 years","25","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,41,"Not Applicable","Not Applicable",25,256248.7052,"Accidents"
"26 years","26","Female","F","8th grade or less",1,37,"Not Applicable","Not Applicable",26,66701.9508,"Accidents"
"26 years","26","Female","F","9th through 12th grade with no diploma",2,314,"Not Applicable","Not Applicable",26,223529.5434,"Accidents"
"26 years","26","Female","F","High school graduate or GED completed",3,968,"Not Applicable","Not Applicable",26,1534210.5971,"Accidents"
"26 years","26","Female","F","Some college credit, but not a degree",4,382,"Not Applicable","Not Applicable",26,1029344.1711,"Accidents"
"26 years","26","Female","F","Associate degree (AA,AS)",5,123,"Not Applicable","Not Applicable",26,664368.5471,"Accidents"
"26 years","26","Female","F","Bachelor’s degree (BA, AB, BS)",6,141,"Not Applicable","Not Applicable",26,2316374.5174,"Accidents"
"26 years","26","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,24,"Not Applicable","Not Applicable",26,567603.6862,"Accidents"
"26 years","26","Male","M","8th grade or less",1,224,"Not Applicable","Not Applicable",26,126086.1211,"Accidents"
"26 years","26","Male","M","9th through 12th grade with no diploma",2,946,"Not Applicable","Not Applicable",26,308721.7469,"Accidents"
"26 years","26","Male","M","High school graduate or GED completed",3,3159,"Not Applicable","Not Applicable",26,2129057.8326,"Accidents"
"26 years","26","Male","M","Some college credit, but not a degree",4,855,"Not Applicable","Not Applicable",26,1166954.1259,"Accidents"
"26 years","26","Male","M","Associate degree (AA,AS)",5,240,"Not Applicable","Not Applicable",26,584573.1572,"Accidents"
"26 years","26","Male","M","Bachelor’s degree (BA, AB, BS)",6,308,"Not Applicable","Not Applicable",26,1750954.729,"Accidents"
"26 years","26","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,23,"Not Applicable","Not Applicable",26,379308.4467,"Accidents"
"26 years","26","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,13,"Not Applicable","Not Applicable",26,80150.9757,"Accidents"
"27 years","27","Female","F","8th grade or less",1,44,"Not Applicable","Not Applicable",27,84622.4351,"Accidents"
"27 years","27","Female","F","9th through 12th grade with no diploma",2,316,"Not Applicable","Not Applicable",27,231989.1896,"Accidents"
"27 years","27","Female","F","High school graduate or GED completed",3,1061,"Not Applicable","Not Applicable",27,1629774.1254,"Accidents"
"27 years","27","Female","F","Some college credit, but not a degree",4,385,"Not Applicable","Not Applicable",27,929747,"Accidents"
"27 years","27","Female","F","Associate degree (AA,AS)",5,116,"Not Applicable","Not Applicable",27,621613.523,"Accidents"
"27 years","27","Female","F","Bachelor’s degree (BA, AB, BS)",6,130,"Not Applicable","Not Applicable",27,1920579.8437,"Accidents"
"27 years","27","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,25,"Not Applicable","Not Applicable",27,728111.5642,"Accidents"
"27 years","27","Male","M","8th grade or less",1,224,"Not Applicable","Not Applicable",27,93413.0134,"Accidents"
"27 years","27","Male","M","9th through 12th grade with no diploma",2,1015,"Not Applicable","Not Applicable",27,297371.6058,"Accidents"
"27 years","27","Male","M","High school graduate or GED completed",3,3384,"Not Applicable","Not Applicable",27,2189514.4054,"Accidents"
"27 years","27","Male","M","Some college credit, but not a degree",4,953,"Not Applicable","Not Applicable",27,1075626.8915,"Accidents"
"27 years","27","Male","M","Associate degree (AA,AS)",5,295,"Not Applicable","Not Applicable",27,562853.1369,"Accidents"
"27 years","27","Male","M","Bachelor’s degree (BA, AB, BS)",6,378,"Not Applicable","Not Applicable",27,1759006.4954,"Accidents"
"27 years","27","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,43,"Not Applicable","Not Applicable",27,448192.207,"Accidents"
"27 years","27","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,11,"Not Applicable","Not Applicable",27,127607.5793,"Accidents"
"28 years","28","Female","F","8th grade or less",1,45,"Not Applicable","Not Applicable",28,78703.4262,"Accidents"
"28 years","28","Female","F","9th through 12th grade with no diploma",2,394,"Not Applicable","Not Applicable",28,217676.8161,"Accidents"
"28 years","28","Female","F","High school graduate or GED completed",3,1097,"Not Applicable","Not Applicable",28,1515358.7616,"Accidents"
"28 years","28","Female","F","Some college credit, but not a degree",4,406,"Not Applicable","Not Applicable",28,1056324.8272,"Accidents"
"28 years","28","Female","F","Associate degree (AA,AS)",5,137,"Not Applicable","Not Applicable",28,851779.0714,"Accidents"
"28 years","28","Female","F","Bachelor’s degree (BA, AB, BS)",6,142,"Not Applicable","Not Applicable",28,1974931.2272,"Accidents"
"28 years","28","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,31,"Not Applicable","Not Applicable",28,762271.8408,"Accidents"
"28 years","28","Male","M","8th grade or less",1,222,"Not Applicable","Not Applicable",28,129251.4527,"Accidents"
"28 years","28","Male","M","9th through 12th grade with no diploma",2,1087,"Not Applicable","Not Applicable",28,304915.3228,"Accidents"
"28 years","28","Male","M","High school graduate or GED completed",3,3772,"Not Applicable","Not Applicable",28,2182279.2709,"Accidents"
"28 years","28","Male","M","Some college credit, but not a degree",4,1043,"Not Applicable","Not Applicable",28,1078905.2257,"Accidents"
"28 years","28","Male","M","Associate degree (AA,AS)",5,289,"Not Applicable","Not Applicable",28,526227.0614,"Accidents"
"28 years","28","Male","M","Bachelor’s degree (BA, AB, BS)",6,374,"Not Applicable","Not Applicable",28,1863406.7943,"Accidents"
"28 years","28","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,45,"Not Applicable","Not Applicable",28,506789.3222,"Accidents"
"28 years","28","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,12,"Not Applicable","Not Applicable",28,150740.7294,"Accidents"
"29 years","29","Female","F","8th grade or less",1,50,"Not Applicable","Not Applicable",29,74413.2612,"Accidents"
"29 years","29","Female","F","9th through 12th grade with no diploma",2,387,"Not Applicable","Not Applicable",29,244701.2297,"Accidents"
"29 years","29","Female","F","High school graduate or GED completed",3,1251,"Not Applicable","Not Applicable",29,1651795.5449,"Accidents"
"29 years","29","Female","F","Some college credit, but not a degree",4,483,"Not Applicable","Not Applicable",29,1026967.7276,"Accidents"
"29 years","29","Female","F","Associate degree (AA,AS)",5,144,"Not Applicable","Not Applicable",29,777421.6903,"Accidents"
"29 years","29","Female","F","Bachelor’s degree (BA, AB, BS)",6,158,"Not Applicable","Not Applicable",29,2108434.6386,"Accidents"
"29 years","29","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,27,"Not Applicable","Not Applicable",29,822995.9615,"Accidents"
"29 years","29","Male","M","8th grade or less",1,255,"Not Applicable","Not Applicable",29,110384.8504,"Accidents"
"29 years","29","Male","M","9th through 12th grade with no diploma",2,1165,"Not Applicable","Not Applicable",29,317053.325,"Accidents"
"29 years","29","Male","M","High school graduate or GED completed",3,3913,"Not Applicable","Not Applicable",29,2078822.0053,"Accidents"
"29 years","29","Male","M","Some college credit, but not a degree",4,1048,"Not Applicable","Not Applicable",29,1153841.2237,"Accidents"
"29 years","29","Male","M","Associate degree (AA,AS)",5,347,"Not Applicable","Not Applicable",29,641835.5888,"Accidents"
"29 years","29","Male","M","Bachelor’s degree (BA, AB, BS)",6,411,"Not Applicable","Not Applicable",29,1843092.7907,"Accidents"
"29 years","29","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,55,"Not Applicable","Not Applicable",29,466579.624,"Accidents"
"29 years","29","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,15,"Not Applicable","Not Applicable",29,129850.0093,"Accidents"
"30 years","30","Female","F","8th grade or less",1,58,"Not Applicable","Not Applicable",30,94216.4575,"Accidents"
"30 years","30","Female","F","9th through 12th grade with no diploma",2,463,"Not Applicable","Not Applicable",30,247114.1811,"Accidents"
"30 years","30","Female","F","High school graduate or GED completed",3,1271,"Not Applicable","Not Applicable",30,1598092.4881,"Accidents"
"30 years","30","Female","F","Some college credit, but not a degree",4,479,"Not Applicable","Not Applicable",30,1093543.0707,"Accidents"
"30 years","30","Female","F","Associate degree (AA,AS)",5,193,"Not Applicable","Not Applicable",30,774603.3082,"Accidents"
"30 years","30","Female","F","Bachelor’s degree (BA, AB, BS)",6,157,"Not Applicable","Not Applicable",30,1954950.6182,"Accidents"
"30 years","30","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,36,"Not Applicable","Not Applicable",30,897968.6922,"Accidents"
"30 years","30","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,12,"Not Applicable","Not Applicable",30,211179.5825,"Accidents"
"30 years","30","Male","M","8th grade or less",1,300,"Not Applicable","Not Applicable",30,137646.6091,"Accidents"
"30 years","30","Male","M","9th through 12th grade with no diploma",2,1154,"Not Applicable","Not Applicable",30,337132.8917,"Accidents"
"30 years","30","Male","M","High school graduate or GED completed",3,4022,"Not Applicable","Not Applicable",30,2156978.6772,"Accidents"
"30 years","30","Male","M","Some college credit, but not a degree",4,1154,"Not Applicable","Not Applicable",30,1239384.6126,"Accidents"
"30 years","30","Male","M","Associate degree (AA,AS)",5,363,"Not Applicable","Not Applicable",30,544274.9026,"Accidents"
"30 years","30","Male","M","Bachelor’s degree (BA, AB, BS)",6,413,"Not Applicable","Not Applicable",30,1925396.584,"Accidents"
"30 years","30","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,52,"Not Applicable","Not Applicable",30,574405.0455,"Accidents"
"30 years","30","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,18,"Not Applicable","Not Applicable",30,208228.3997,"Accidents"
"31 years","31","Female","F","8th grade or less",1,78,"Not Applicable","Not Applicable",31,107498.9216,"Accidents"
"31 years","31","Female","F","9th through 12th grade with no diploma",2,459,"Not Applicable","Not Applicable",31,289931.3508,"Accidents"
"31 years","31","Female","F","High school graduate or GED completed",3,1308,"Not Applicable","Not Applicable",31,1542976.0678,"Accidents"
"31 years","31","Female","F","Some college credit, but not a degree",4,531,"Not Applicable","Not Applicable",31,893257.9356,"Accidents"
"31 years","31","Female","F","Associate degree (AA,AS)",5,198,"Not Applicable","Not Applicable",31,731753.6059,"Accidents"
"31 years","31","Female","F","Bachelor’s degree (BA, AB, BS)",6,163,"Not Applicable","Not Applicable",31,2041116.2711,"Accidents"
"31 years","31","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,38,"Not Applicable","Not Applicable",31,928509.2812,"Accidents"
"31 years","31","Male","M","8th grade or less",1,298,"Not Applicable","Not Applicable",31,135363.8316,"Accidents"
"31 years","31","Male","M","9th through 12th grade with no diploma",2,1321,"Not Applicable","Not Applicable",31,372654.2172,"Accidents"
"31 years","31","Male","M","High school graduate or GED completed",3,4149,"Not Applicable","Not Applicable",31,2044003.8009,"Accidents"
"31 years","31","Male","M","Some college credit, but not a degree",4,1334,"Not Applicable","Not Applicable",31,1111515.6186,"Accidents"
"31 years","31","Male","M","Associate degree (AA,AS)",5,407,"Not Applicable","Not Applicable",31,717652.348,"Accidents"
"31 years","31","Male","M","Bachelor’s degree (BA, AB, BS)",6,430,"Not Applicable","Not Applicable",31,1848177.2875,"Accidents"
"31 years","31","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,72,"Not Applicable","Not Applicable",31,633160.7996,"Accidents"
"31 years","31","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,18,"Not Applicable","Not Applicable",31,220875.8409,"Accidents"
"32 years","32","Female","F","8th grade or less",1,63,"Not Applicable","Not Applicable",32,79299.0385,"Accidents"
"32 years","32","Female","F","9th through 12th grade with no diploma",2,456,"Not Applicable","Not Applicable",32,283832.4323,"Accidents"
"32 years","32","Female","F","High school graduate or GED completed",3,1413,"Not Applicable","Not Applicable",32,1517662.4322,"Accidents"
"32 years","32","Female","F","Some college credit, but not a degree",4,571,"Not Applicable","Not Applicable",32,936098.462,"Accidents"
"32 years","32","Female","F","Associate degree (AA,AS)",5,201,"Not Applicable","Not Applicable",32,756475.4401,"Accidents"
"32 years","32","Female","F","Bachelor’s degree (BA, AB, BS)",6,165,"Not Applicable","Not Applicable",32,2035125.2248,"Accidents"
"32 years","32","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,40,"Not Applicable","Not Applicable",32,980078.9517,"Accidents"
"32 years","32","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,13,"Not Applicable","Not Applicable",32,282528.2138,"Accidents"
"32 years","32","Male","M","8th grade or less",1,295,"Not Applicable","Not Applicable",32,153922.2893,"Accidents"
"32 years","32","Male","M","9th through 12th grade with no diploma",2,1332,"Not Applicable","Not Applicable",32,321669.6154,"Accidents"
"32 years","32","Male","M","High school graduate or GED completed",3,4307,"Not Applicable","Not Applicable",32,1946660.3593,"Accidents"
"32 years","32","Male","M","Some college credit, but not a degree",4,1266,"Not Applicable","Not Applicable",32,1005471.0446,"Accidents"
"32 years","32","Male","M","Associate degree (AA,AS)",5,385,"Not Applicable","Not Applicable",32,710160.7391,"Accidents"
"32 years","32","Male","M","Bachelor’s degree (BA, AB, BS)",6,455,"Not Applicable","Not Applicable",32,1832418.339,"Accidents"
"32 years","32","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,75,"Not Applicable","Not Applicable",32,745502.3915,"Accidents"
"32 years","32","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,38,"Not Applicable","Not Applicable",32,194855.2935,"Accidents"
"33 years","33","Female","F","8th grade or less",1,68,"Not Applicable","Not Applicable",33,104664.26,"Accidents"
"33 years","33","Female","F","9th through 12th grade with no diploma",2,494,"Not Applicable","Not Applicable",33,287849.8048,"Accidents"
"33 years","33","Female","F","High school graduate or GED completed",3,1387,"Not Applicable","Not Applicable",33,1456851.7595,"Accidents"
"33 years","33","Female","F","Some college credit, but not a degree",4,554,"Not Applicable","Not Applicable",33,1015195.794,"Accidents"
"33 years","33","Female","F","Associate degree (AA,AS)",5,229,"Not Applicable","Not Applicable",33,702078.3471,"Accidents"
"33 years","33","Female","F","Bachelor’s degree (BA, AB, BS)",6,177,"Not Applicable","Not Applicable",33,2145819.9311,"Accidents"
"33 years","33","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,45,"Not Applicable","Not Applicable",33,966031.3308,"Accidents"
"33 years","33","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,20,"Not Applicable","Not Applicable",33,302740.121,"Accidents"
"33 years","33","Male","M","8th grade or less",1,312,"Not Applicable","Not Applicable",33,138285.7761,"Accidents"
"33 years","33","Male","M","9th through 12th grade with no diploma",2,1323,"Not Applicable","Not Applicable",33,289990.8277,"Accidents"
"33 years","33","Male","M","High school graduate or GED completed",3,4353,"Not Applicable","Not Applicable",33,1948662.5992,"Accidents"
"33 years","33","Male","M","Some college credit, but not a degree",4,1270,"Not Applicable","Not Applicable",33,1039578.4582,"Accidents"
"33 years","33","Male","M","Associate degree (AA,AS)",5,448,"Not Applicable","Not Applicable",33,743470.2401,"Accidents"
"33 years","33","Male","M","Bachelor’s degree (BA, AB, BS)",6,463,"Not Applicable","Not Applicable",33,1811867.0833,"Accidents"
"33 years","33","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,73,"Not Applicable","Not Applicable",33,621669.7821,"Accidents"
"33 years","33","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,27,"Not Applicable","Not Applicable",33,227827.9127,"Accidents"
"34 years","34","Female","F","8th grade or less",1,69,"Not Applicable","Not Applicable",34,149095.5438,"Accidents"
"34 years","34","Female","F","9th through 12th grade with no diploma",2,487,"Not Applicable","Not Applicable",34,295668.7218,"Accidents"
"34 years","34","Female","F","High school graduate or GED completed",3,1421,"Not Applicable","Not Applicable",34,1319293.896,"Accidents"
"34 years","34","Female","F","Some college credit, but not a degree",4,488,"Not Applicable","Not Applicable",34,949764.6291,"Accidents"
"34 years","34","Female","F","Associate degree (AA,AS)",5,223,"Not Applicable","Not Applicable",34,780586.8098,"Accidents"
"34 years","34","Female","F","Bachelor’s degree (BA, AB, BS)",6,184,"Not Applicable","Not Applicable",34,1994144.7515,"Accidents"
"34 years","34","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,48,"Not Applicable","Not Applicable",34,970352.3384,"Accidents"
"34 years","34","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,10,"Not Applicable","Not Applicable",34,299541.4411,"Accidents"
"34 years","34","Male","M","8th grade or less",1,318,"Not Applicable","Not Applicable",34,194376.6028,"Accidents"
"34 years","34","Male","M","9th through 12th grade with no diploma",2,1321,"Not Applicable","Not Applicable",34,355423.9737,"Accidents"
"34 years","34","Male","M","High school graduate or GED completed",3,4116,"Not Applicable","Not Applicable",34,1753285.6159,"Accidents"
"34 years","34","Male","M","Some college credit, but not a degree",4,1192,"Not Applicable","Not Applicable",34,1007430.2425,"Accidents"
"34 years","34","Male","M","Associate degree (AA,AS)",5,409,"Not Applicable","Not Applicable",34,642932.3249,"Accidents"
"34 years","34","Male","M","Bachelor’s degree (BA, AB, BS)",6,447,"Not Applicable","Not Applicable",34,1638938.4663,"Accidents"
"34 years","34","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,70,"Not Applicable","Not Applicable",34,508588.2885,"Accidents"
"34 years","34","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,40,"Not Applicable","Not Applicable",34,300654.6496,"Accidents"
"35 years","35","Female","F","8th grade or less",1,84,"Not Applicable","Not Applicable",35,121454.0714,"Accidents"
"35 years","35","Female","F","9th through 12th grade with no diploma",2,511,"Not Applicable","Not Applicable",35,300512.1357,"Accidents"
"35 years","35","Female","F","High school graduate or GED completed",3,1376,"Not Applicable","Not Applicable",35,1377044.613,"Accidents"
"35 years","35","Female","F","Some college credit, but not a degree",4,486,"Not Applicable","Not Applicable",35,859201.2945,"Accidents"
"35 years","35","Female","F","Associate degree (AA,AS)",5,231,"Not Applicable","Not Applicable",35,800811.5282,"Accidents"
"35 years","35","Female","F","Bachelor’s degree (BA, AB, BS)",6,200,"Not Applicable","Not Applicable",35,1970190.3529,"Accidents"
"35 years","35","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,55,"Not Applicable","Not Applicable",35,984491.8417,"Accidents"
"35 years","35","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,16,"Not Applicable","Not Applicable",35,302643.6213,"Accidents"
"35 years","35","Male","M","8th grade or less",1,350,"Not Applicable","Not Applicable",35,176711.1726,"Accidents"
"35 years","35","Male","M","9th through 12th grade with no diploma",2,1299,"Not Applicable","Not Applicable",35,370756.9622,"Accidents"
"35 years","35","Male","M","High school graduate or GED completed",3,4167,"Not Applicable","Not Applicable",35,1956578.5584,"Accidents"
"35 years","35","Male","M","Some college credit, but not a degree",4,1161,"Not Applicable","Not Applicable",35,984013.3032,"Accidents"
"35 years","35","Male","M","Associate degree (AA,AS)",5,433,"Not Applicable","Not Applicable",35,706104.0688,"Accidents"
"35 years","35","Male","M","Bachelor’s degree (BA, AB, BS)",6,480,"Not Applicable","Not Applicable",35,1803442.3757,"Accidents"
"35 years","35","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,89,"Not Applicable","Not Applicable",35,647934.756,"Accidents"
"35 years","35","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,34,"Not Applicable","Not Applicable",35,284702.4051,"Accidents"
"36 years","36","Female","F","8th grade or less",1,78,"Not Applicable","Not Applicable",36,171100.5323,"Accidents"
"36 years","36","Female","F","9th through 12th grade with no diploma",2,499,"Not Applicable","Not Applicable",36,285692.6183,"Accidents"
"36 years","36","Female","F","High school graduate or GED completed",3,1396,"Not Applicable","Not Applicable",36,1393809.1427,"Accidents"
"36 years","36","Female","F","Some college credit, but not a degree",4,506,"Not Applicable","Not Applicable",36,870232.7652,"Accidents"
"36 years","36","Female","F","Associate degree (AA,AS)",5,239,"Not Applicable","Not Applicable",36,821686.3821,"Accidents"
"36 years","36","Female","F","Bachelor’s degree (BA, AB, BS)",6,165,"Not Applicable","Not Applicable",36,1869784.4336,"Accidents"
"36 years","36","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,42,"Not Applicable","Not Applicable",36,1049161.3541,"Accidents"
"36 years","36","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,11,"Not Applicable","Not Applicable",36,302608.8014,"Accidents"
"36 years","36","Male","M","8th grade or less",1,342,"Not Applicable","Not Applicable",36,226840.0135,"Accidents"
"36 years","36","Male","M","9th through 12th grade with no diploma",2,1282,"Not Applicable","Not Applicable",36,370176.7682,"Accidents"
"36 years","36","Male","M","High school graduate or GED completed",3,4228,"Not Applicable","Not Applicable",36,1837820.3868,"Accidents"
"36 years","36","Male","M","Some college credit, but not a degree",4,1199,"Not Applicable","Not Applicable",36,1016520.8613,"Accidents"
"36 years","36","Male","M","Associate degree (AA,AS)",5,449,"Not Applicable","Not Applicable",36,744839.7659,"Accidents"
"36 years","36","Male","M","Bachelor’s degree (BA, AB, BS)",6,458,"Not Applicable","Not Applicable",36,1676193.2947,"Accidents"
"36 years","36","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,87,"Not Applicable","Not Applicable",36,678475.1454,"Accidents"
"36 years","36","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,26,"Not Applicable","Not Applicable",36,303641.3485,"Accidents"
"37 years","37","Female","F","8th grade or less",1,80,"Not Applicable","Not Applicable",37,189818.6821,"Accidents"
"37 years","37","Female","F","9th through 12th grade with no diploma",2,496,"Not Applicable","Not Applicable",37,298446.862,"Accidents"
"37 years","37","Female","F","High school graduate or GED completed",3,1398,"Not Applicable","Not Applicable",37,1334110.3705,"Accidents"
"37 years","37","Female","F","Some college credit, but not a degree",4,472,"Not Applicable","Not Applicable",37,970573.2698,"Accidents"
"37 years","37","Female","F","Associate degree (AA,AS)",5,230,"Not Applicable","Not Applicable",37,722320.3804,"Accidents"
"37 years","37","Female","F","Bachelor’s degree (BA, AB, BS)",6,210,"Not Applicable","Not Applicable",37,1823843.0918,"Accidents"
"37 years","37","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,59,"Not Applicable","Not Applicable",37,1010825.6151,"Accidents"
"37 years","37","Male","M","8th grade or less",1,359,"Not Applicable","Not Applicable",37,205291.9263,"Accidents"
"37 years","37","Male","M","9th through 12th grade with no diploma",2,1345,"Not Applicable","Not Applicable",37,415171.5971,"Accidents"
