"Ten-Year Age Groups","Sex","Education","Deaths","adjusted_population","Cause"
"25-34 years","Male","9th through 12th grade with no diploma",11584,3278271.20278481,"Accidents"
"25-34 years","Male","High school graduate or GED completed",38083,21247492.1730569,"Accidents"
"25-34 years","Male","Some college credit, but not a degree",10921,11406602.3586941,"Accidents"
"25-34 years","Male","Associate degree (AA,AS)",3413,6376069.08534772,"Accidents"
"25-34 years","Male","Bachelor’s degree (BA, AB, BS)",3960,18615037.9833857,"Accidents"
"25-34 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",549,5273396.62222859,"Accidents"
"25-34 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",199,1726866.17757681,"Accidents"
"35-44 years","Female","8th grade or less",852,1940130.01330211,"Accidents"
"35-44 years","Female","9th through 12th grade with no diploma",4807,3055354.26941272,"Accidents"
"35-44 years","Female","High school graduate or GED completed",13260,13478992.7935605,"Accidents"
"35-44 years","Female","Some college credit, but not a degree",4834,8662459.42469967,"Accidents"
"35-44 years","Female","Associate degree (AA,AS)",2483,7377549.9369183,"Accidents"
"35-44 years","Female","Bachelor’s degree (BA, AB, BS)",2155,17779824.5289747,"Accidents"
"35-44 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",643,10011914.6221708,"Accidents"
"35-44 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",127,2843648.41096116,"Accidents"
"35-44 years","Male","8th grade or less",3720,2383521.86322579,"Accidents"
"35-44 years","Male","9th through 12th grade with no diploma",13222,3881613.09488886,"Accidents"
"35-44 years","Male","High school graduate or GED completed",40300,18626412.1306341,"Accidents"
"35-44 years","Male","Some college credit, but not a degree",10626,9287352.1341086,"Accidents"
"35-44 years","Male","Associate degree (AA,AS)",4246,6353577.17100071,"Accidents"
"35-44 years","Male","Bachelor’s degree (BA, AB, BS)",4604,16220777.7222767,"Accidents"
"35-44 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",976,6833556.88562006,"Accidents"
"35-44 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",344,2753226.99824523,"Accidents"
"45-54 years","Female","8th grade or less",943,2072085.49973875,"Accidents"
"45-54 years","Female","9th through 12th grade with no diploma",3663,2806803.62000732,"Accidents"
"45-54 years","Female","High school graduate or GED completed",11323,14323360.2124866,"Accidents"
"45-54 years","Female","Some college credit, but not a degree",4068,8056834.24055204,"Accidents"
"45-54 years","Female","Associate degree (AA,AS)",2324,7134393.79017566,"Accidents"
"45-54 years","Female","Bachelor’s degree (BA, AB, BS)",2090,15361099.6753744,"Accidents"
"45-54 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",657,8772257.20219829,"Accidents"
"45-54 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",157,2308329.75946696,"Accidents"
"45-54 years","Male","8th grade or less",3787,2446323.54011485,"Accidents"
"45-54 years","Male","9th through 12th grade with no diploma",11091,3511993.44289705,"Accidents"
"45-54 years","Male","High school graduate or GED completed",32975,18000257.0073115,"Accidents"
"45-54 years","Male","Some college credit, but not a degree",8109,8161050.80197409,"Accidents"
"45-54 years","Male","Associate degree (AA,AS)",3442,5864485.46701162,"Accidents"
"45-54 years","Male","Bachelor’s degree (BA, AB, BS)",3839,14152259.5676181,"Accidents"
"45-54 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1061,6218967.50228772,"Accidents"
"45-54 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",386,2423360.67078506,"Accidents"
"55-64 years","Female","8th grade or less",1194,2320601.29321048,"Accidents"
"55-64 years","Female","9th through 12th grade with no diploma",3564,3220697.45682495,"Accidents"
"55-64 years","Female","High school graduate or GED completed",12686,18982305.014268,"Accidents"
"55-64 years","Female","Some college credit, but not a degree",4072,9720014.44568931,"Accidents"
"55-64 years","Female","Associate degree (AA,AS)",2400,8085311.59225438,"Accidents"
"55-64 years","Female","Bachelor’s degree (BA, AB, BS)",2293,14270431.7026246,"Accidents"
"55-64 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",745,6278204.12944329,"Accidents"
"55-64 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",197,1726280.36568503,"Accidents"
"55-64 years","Male","8th grade or less",4022,2435886.45259838,"Accidents"
"55-64 years","Male","9th through 12th grade with no diploma",10854,3955620.01090162,"Accidents"
"55-64 years","Male","High school graduate or GED completed",35792,20424520.8963519,"Accidents"
"55-64 years","Male","Some college credit, but not a degree",8147,8682103.64719043,"Accidents"
"55-64 years","Male","Associate degree (AA,AS)",3472,6327848.94446223,"Accidents"
"55-64 years","Male","Bachelor’s degree (BA, AB, BS)",4395,12586037.8781127,"Accidents"
"55-64 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1224,5333229.13854023,"Accidents"
"55-64 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",534,2393819.0318425,"Accidents"
"65-74 years","Female","8th grade or less",1048,2120525.80891785,"Accidents"
"65-74 years","Female","9th through 12th grade with no diploma",1561,2688427.81949305,"Accidents"
"65-74 years","Female","High school graduate or GED completed",9247,16452837.4280478,"Accidents"
"65-74 years","Female","Some college credit, but not a degree",3181,8854131.33115233,"Accidents"
"65-74 years","Female","Associate degree (AA,AS)",2222,6308239.90229795,"Accidents"
"65-74 years","Female","Bachelor’s degree (BA, AB, BS)",2749,10404834.8649365,"Accidents"
"65-74 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1293,5731054.0266619,"Accidents"
"65-74 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",269,1464955.81849258,"Accidents"
"65-74 years","Male","8th grade or less",2442,1896511.6039099,"Accidents"
"65-74 years","Male","9th through 12th grade with no diploma",4341,2610344.03672718,"Accidents"
"65-74 years","Male","High school graduate or GED completed",19675,13392193.7794162,"Accidents"
"65-74 years","Male","Some college credit, but not a degree",6471,8005786.71886247,"Accidents"
"65-74 years","Male","Associate degree (AA,AS)",3077,4960732.41555106,"Accidents"
"65-74 years","Male","Bachelor’s degree (BA, AB, BS)",5112,9736039.54008081,"Accidents"
"65-74 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1923,4971393.21261619,"Accidents"
"65-74 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1041,2541836.69283622,"Accidents"
"75-84 years","Female","8th grade or less",1796,1512725.3668373,"Accidents"
"75-84 years","Female","9th through 12th grade with no diploma",2116,1914570.78559303,"Accidents"
"75-84 years","Female","High school graduate or GED completed",12806,10480103.7643468,"Accidents"
"75-84 years","Female","Some college credit, but not a degree",3697,4560777.23003086,"Accidents"
"75-84 years","Female","Associate degree (AA,AS)",2283,2594197.06458642,"Accidents"
"75-84 years","Female","Bachelor’s degree (BA, AB, BS)",3470,4611071.821562,"Accidents"
"75-84 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1894,2566418.42210808,"Accidents"
"75-84 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",349,788994.54493556,"Accidents"
"75-84 years","Male","8th grade or less",2498,1221045.72436518,"Accidents"
"75-84 years","Male","9th through 12th grade with no diploma",2474,1408094.21497689,"Accidents"
"75-84 years","Male","High school graduate or GED completed",13640,6622366.07663903,"Accidents"
"75-84 years","Male","Some college credit, but not a degree",4946,3350380.84915807,"Accidents"
"75-84 years","Male","Associate degree (AA,AS)",2338,1734172.30368707,"Accidents"
"75-84 years","Male","Bachelor’s degree (BA, AB, BS)",5666,4497166.69728814,"Accidents"
"75-84 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",3000,2623804.12136077,"Accidents"
"75-84 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1729,1608828.01252484,"Accidents"
"85+ years","Female","8th grade or less",3952,1158959.04981759,"Accidents"
"85+ years","Female","9th through 12th grade with no diploma",3378,851019.241694978,"Accidents"
"85+ years","Female","High school graduate or GED completed",22941,5068371.43609068,"Accidents"
"85+ years","Female","Some college credit, but not a degree",5171,1524909.64468739,"Accidents"
"85+ years","Female","Associate degree (AA,AS)",2978,813664.659639271,"Accidents"
"85+ years","Female","Bachelor’s degree (BA, AB, BS)",5167,1563294.71095639,"Accidents"
"85+ years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",2231,771485.97123678,"Accidents"
"85+ years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",452,161168.285876917,"Accidents"
"85+ years","Male","8th grade or less",3105,575226.758177157,"Accidents"
"85+ years","Male","9th through 12th grade with no diploma",2251,477700.208441055,"Accidents"
"85+ years","Male","High school graduate or GED completed",12162,2077834.21506853,"Accidents"
"85+ years","Male","Some college credit, but not a degree",3713,839353.613228105,"Accidents"
"85+ years","Male","Associate degree (AA,AS)",1713,424853.409945861,"Accidents"
"85+ years","Male","Bachelor’s degree (BA, AB, BS)",5872,1240142.0354069,"Accidents"
"85+ years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",2888,652963.748738737,"Accidents"
"85+ years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2012,455657.010993651,"Accidents"
"< 1 year","Female","8th grade or less",113,5327383,"COVID"
"< 1 year","Female","9th through 12th grade with no diploma",0,NA,"COVID"
"< 1 year","Female","High school graduate or GED completed",0,NA,"COVID"
"< 1 year","Female","Some college credit, but not a degree",0,NA,"COVID"
"< 1 year","Female","Associate degree (AA,AS)",0,NA,"COVID"
"< 1 year","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"COVID"
"< 1 year","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"COVID"
"< 1 year","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"COVID"
"< 1 year","Male","8th grade or less",147,5568877,"COVID"
"< 1 year","Male","9th through 12th grade with no diploma",0,NA,"COVID"
"< 1 year","Male","High school graduate or GED completed",0,NA,"COVID"
"< 1 year","Male","Some college credit, but not a degree",0,NA,"COVID"
"< 1 year","Male","Associate degree (AA,AS)",0,NA,"COVID"
"< 1 year","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"COVID"
"< 1 year","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"COVID"
"< 1 year","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"COVID"
"1-4 years","Female","8th grade or less",76,21990622,"COVID"
"1-4 years","Female","9th through 12th grade with no diploma",0,NA,"COVID"
"1-4 years","Female","High school graduate or GED completed",0,NA,"COVID"
"1-4 years","Female","Some college credit, but not a degree",0,NA,"COVID"
"1-4 years","Female","Associate degree (AA,AS)",0,NA,"COVID"
"1-4 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"COVID"
"1-4 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"COVID"
"1-4 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"COVID"
"1-4 years","Male","8th grade or less",100,22989969,"COVID"
"1-4 years","Male","9th through 12th grade with no diploma",0,NA,"COVID"
"1-4 years","Male","High school graduate or GED completed",0,NA,"COVID"
"1-4 years","Male","Some college credit, but not a degree",0,NA,"COVID"
"1-4 years","Male","Associate degree (AA,AS)",0,NA,"COVID"
"1-4 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"COVID"
"1-4 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"COVID"
"1-4 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"COVID"
"5-14 years","Female","8th grade or less",134,60354869,"COVID"
"5-14 years","Female","9th through 12th grade with no diploma",5,NA,"COVID"
"5-14 years","Female","High school graduate or GED completed",0,NA,"COVID"
"5-14 years","Female","Some college credit, but not a degree",0,NA,"COVID"
"5-14 years","Female","Associate degree (AA,AS)",0,NA,"COVID"
"5-14 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"COVID"
"5-14 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"COVID"
"5-14 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"COVID"
"5-14 years","Male","8th grade or less",168,63270818,"COVID"
"5-14 years","Male","9th through 12th grade with no diploma",5,NA,"COVID"
"5-14 years","Male","High school graduate or GED completed",0,NA,"COVID"
"5-14 years","Male","Some college credit, but not a degree",0,NA,"COVID"
"5-14 years","Male","Associate degree (AA,AS)",0,NA,"COVID"
"5-14 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"COVID"
"5-14 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"COVID"
"5-14 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"COVID"
"15-24 years","Female","8th grade or less",35,3231970.38875783,"COVID"
"15-24 years","Female","9th through 12th grade with no diploma",166,22125941.0993076,"COVID"
"15-24 years","Female","High school graduate or GED completed",363,13583288.1740219,"COVID"
"15-24 years","Female","Some college credit, but not a degree",130,15328451.6994566,"COVID"
"15-24 years","Female","Associate degree (AA,AS)",34,3129917.1683501,"COVID"
"15-24 years","Female","Bachelor’s degree (BA, AB, BS)",37,6216340.19976223,"COVID"
"15-24 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,538143.462980643,"COVID"
"15-24 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,59142.8073630288,"COVID"
"15-24 years","Male","8th grade or less",55,3927319.41928984,"COVID"
"15-24 years","Male","9th through 12th grade with no diploma",290,23773989.1519258,"COVID"
"15-24 years","Male","High school graduate or GED completed",562,17725505.0077499,"COVID"
"15-24 years","Male","Some college credit, but not a degree",174,14176193.4741762,"COVID"
"15-24 years","Male","Associate degree (AA,AS)",33,2525692.02533875,"COVID"
"15-24 years","Male","Bachelor’s degree (BA, AB, BS)",31,4583401.48356485,"COVID"
"15-24 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",5,333993.224039214,"COVID"
"15-24 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,57597.2139154368,"COVID"
"25-34 years","Female","8th grade or less",94,927808.745423385,"COVID"
"25-34 years","Female","9th through 12th grade with no diploma",309,2600102.46335049,"COVID"
"25-34 years","Female","High school graduate or GED completed",1376,15454810.2395185,"COVID"
"25-34 years","Female","Some college credit, but not a degree",557,10062467.562458,"COVID"
"25-34 years","Female","Associate degree (AA,AS)",279,7284464.92503135,"COVID"
"25-34 years","Female","Bachelor’s degree (BA, AB, BS)",270,20690336.5449832,"COVID"
"25-34 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",62,8162636.91368959,"COVID"
"25-34 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",11,2054182.60554548,"COVID"
"25-34 years","Male","8th grade or less",224,1378375.39692527,"COVID"
"25-34 years","Male","9th through 12th grade with no diploma",508,3278271.20278481,"COVID"
"25-34 years","Male","High school graduate or GED completed",2568,21247492.1730569,"COVID"
"25-34 years","Male","Some college credit, but not a degree",879,11406602.3586941,"COVID"
"25-34 years","Male","Associate degree (AA,AS)",350,6376069.08534772,"COVID"
"25-34 years","Male","Bachelor’s degree (BA, AB, BS)",357,18615037.9833857,"COVID"
"25-34 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",63,5273396.62222859,"COVID"
"25-34 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",16,1726866.17757681,"COVID"
"35-44 years","Female","8th grade or less",328,1940130.01330211,"COVID"
"35-44 years","Female","9th through 12th grade with no diploma",794,3055354.26941272,"COVID"
"35-44 years","Female","High school graduate or GED completed",3336,13478992.7935605,"COVID"
"35-44 years","Female","Some college credit, but not a degree",1394,8662459.42469967,"COVID"
"35-44 years","Female","Associate degree (AA,AS)",881,7377549.9369183,"COVID"
"35-44 years","Female","Bachelor’s degree (BA, AB, BS)",766,17779824.5289747,"COVID"
"35-44 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",281,10011914.6221708,"COVID"
"35-44 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",39,2843648.41096116,"COVID"
"35-44 years","Male","8th grade or less",902,2383521.86322579,"COVID"
"35-44 years","Male","9th through 12th grade with no diploma",1534,3881613.09488886,"COVID"
"35-44 years","Male","High school graduate or GED completed",5596,18626412.1306341,"COVID"
"35-44 years","Male","Some college credit, but not a degree",1996,9287352.1341086,"COVID"
"35-44 years","Male","Associate degree (AA,AS)",962,6353577.17100071,"COVID"
"35-44 years","Male","Bachelor’s degree (BA, AB, BS)",964,16220777.7222767,"COVID"
"35-44 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",261,6833556.88562006,"COVID"
"35-44 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",65,2753226.99824523,"COVID"
"45-54 years","Female","8th grade or less",974,2072085.49973875,"COVID"
"45-54 years","Female","9th through 12th grade with no diploma",1780,2806803.62000732,"COVID"
"45-54 years","Female","High school graduate or GED completed",7433,14323360.2124866,"COVID"
"45-54 years","Female","Some college credit, but not a degree",3049,8056834.24055204,"COVID"
"45-54 years","Female","Associate degree (AA,AS)",2049,7134393.79017566,"COVID"
"45-54 years","Female","Bachelor’s degree (BA, AB, BS)",1736,15361099.6753744,"COVID"
"45-54 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",623,8772257.20219829,"COVID"
"45-54 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",103,2308329.75946696,"COVID"
"45-54 years","Male","8th grade or less",2264,2446323.54011485,"COVID"
"45-54 years","Male","9th through 12th grade with no diploma",3247,3511993.44289705,"COVID"
"45-54 years","Male","High school graduate or GED completed",13297,18000257.0073115,"COVID"
"45-54 years","Male","Some college credit, but not a degree",4432,8161050.80197409,"COVID"
"45-54 years","Male","Associate degree (AA,AS)",2362,5864485.46701162,"COVID"
"45-54 years","Male","Bachelor’s degree (BA, AB, BS)",2698,14152259.5676181,"COVID"
"45-54 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",767,6218967.50228772,"COVID"
"45-54 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",178,2423360.67078506,"COVID"
"55-64 years","Female","8th grade or less",2849,2320601.29321048,"COVID"
"55-64 years","Female","9th through 12th grade with no diploma",4295,3220697.45682495,"COVID"
"55-64 years","Female","High school graduate or GED completed",17964,18982305.014268,"COVID"
"55-64 years","Female","Some college credit, but not a degree",6011,9720014.44568931,"COVID"
"55-64 years","Female","Associate degree (AA,AS)",4156,8085311.59225438,"COVID"
"55-64 years","Female","Bachelor’s degree (BA, AB, BS)",3458,14270431.7026246,"COVID"
"55-64 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1084,6278204.12944329,"COVID"
"55-64 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",230,1726280.36568503,"COVID"
"55-64 years","Male","8th grade or less",5014,2435886.45259838,"COVID"
"55-64 years","Male","9th through 12th grade with no diploma",6787,3955620.01090162,"COVID"
"55-64 years","Male","High school graduate or GED completed",27922,20424520.8963519,"COVID"
"55-64 years","Male","Some college credit, but not a degree",8335,8682103.64719043,"COVID"
"55-64 years","Male","Associate degree (AA,AS)",4279,6327848.94446223,"COVID"
"55-64 years","Male","Bachelor’s degree (BA, AB, BS)",5184,12586037.8781127,"COVID"
"55-64 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1512,5333229.13854023,"COVID"
"55-64 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",626,2393819.0318425,"COVID"
"65-74 years","Female","8th grade or less",5461,2120525.80891785,"COVID"
"65-74 years","Female","9th through 12th grade with no diploma",6193,2688427.81949305,"COVID"
"65-74 years","Female","High school graduate or GED completed",28741,16452837.4280478,"COVID"
"65-74 years","Female","Some college credit, but not a degree",8724,8854131.33115233,"COVID"
"65-74 years","Female","Associate degree (AA,AS)",6040,6308239.90229795,"COVID"
"65-74 years","Female","Bachelor’s degree (BA, AB, BS)",5421,10404834.8649365,"COVID"
"65-74 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",2230,5731054.0266619,"COVID"
"65-74 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",380,1464955.81849258,"COVID"
"65-74 years","Male","8th grade or less",7990,1896511.6039099,"COVID"
"65-74 years","Male","9th through 12th grade with no diploma",8079,2610344.03672718,"COVID"
"65-74 years","Male","High school graduate or GED completed",36598,13392193.7794162,"COVID"
"65-74 years","Male","Some college credit, but not a degree",13170,8005786.71886247,"COVID"
"65-74 years","Male","Associate degree (AA,AS)",6712,4960732.41555106,"COVID"
"65-74 years","Male","Bachelor’s degree (BA, AB, BS)",9842,9736039.54008081,"COVID"
"65-74 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",3387,4971393.21261619,"COVID"
"65-74 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1452,2541836.69283622,"COVID"
"75-84 years","Female","8th grade or less",7994,1512725.3668373,"COVID"
"75-84 years","Female","9th through 12th grade with no diploma",7626,1914570.78559303,"COVID"
"75-84 years","Female","High school graduate or GED completed",33614,10480103.7643468,"COVID"
"75-84 years","Female","Some college credit, but not a degree",7816,4560777.23003086,"COVID"
"75-84 years","Female","Associate degree (AA,AS)",5058,2594197.06458642,"COVID"
"75-84 years","Female","Bachelor’s degree (BA, AB, BS)",5666,4611071.821562,"COVID"
"75-84 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",2479,2566418.42210808,"COVID"
"75-84 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",486,788994.54493556,"COVID"
"75-84 years","Male","8th grade or less",10702,1221045.72436518,"COVID"
"75-84 years","Male","9th through 12th grade with no diploma",8677,1408094.21497689,"COVID"
"75-84 years","Male","High school graduate or GED completed",37127,6622366.07663903,"COVID"
"75-84 years","Male","Some college credit, but not a degree",11599,3350380.84915807,"COVID"
"75-84 years","Male","Associate degree (AA,AS)",5542,1734172.30368707,"COVID"
"75-84 years","Male","Bachelor’s degree (BA, AB, BS)",10750,4497166.69728814,"COVID"
"75-84 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",4867,2623804.12136077,"COVID"
"75-84 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2518,1608828.01252484,"COVID"
"85+ years","Female","8th grade or less",11439,1158959.04981759,"COVID"
"85+ years","Female","9th through 12th grade with no diploma",7626,851019.241694978,"COVID"
"85+ years","Female","High school graduate or GED completed",39133,5068371.43609068,"COVID"
"85+ years","Female","Some college credit, but not a degree",7462,1524909.64468739,"COVID"
"85+ years","Female","Associate degree (AA,AS)",4359,813664.659639271,"COVID"
"85+ years","Female","Bachelor’s degree (BA, AB, BS)",6776,1563294.71095639,"COVID"
"85+ years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",2820,771485.97123678,"COVID"
"85+ years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",571,161168.285876917,"COVID"
"85+ years","Male","8th grade or less",10391,575226.758177157,"COVID"
"85+ years","Male","9th through 12th grade with no diploma",5787,477700.208441055,"COVID"
"85+ years","Male","High school graduate or GED completed",27053,2077834.21506853,"COVID"
"85+ years","Male","Some college credit, but not a degree",7402,839353.613228105,"COVID"
"85+ years","Male","Associate degree (AA,AS)",3375,424853.409945861,"COVID"
"85+ years","Male","Bachelor’s degree (BA, AB, BS)",10016,1240142.0354069,"COVID"
"85+ years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",4544,652963.748738737,"COVID"
"85+ years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2845,455657.010993651,"COVID"
"< 1 year","Female","8th grade or less",113,5327383,"Cerebrovascular Diseases"
"< 1 year","Female","9th through 12th grade with no diploma",0,NA,"Cerebrovascular Diseases"
"< 1 year","Female","High school graduate or GED completed",0,NA,"Cerebrovascular Diseases"
"< 1 year","Female","Some college credit, but not a degree",0,NA,"Cerebrovascular Diseases"
"< 1 year","Female","Associate degree (AA,AS)",0,NA,"Cerebrovascular Diseases"
"< 1 year","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Cerebrovascular Diseases"
"< 1 year","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Cerebrovascular Diseases"
"< 1 year","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Cerebrovascular Diseases"
"< 1 year","Male","8th grade or less",133,5568877,"Cerebrovascular Diseases"
"< 1 year","Male","9th through 12th grade with no diploma",0,NA,"Cerebrovascular Diseases"
"< 1 year","Male","High school graduate or GED completed",0,NA,"Cerebrovascular Diseases"
"< 1 year","Male","Some college credit, but not a degree",0,NA,"Cerebrovascular Diseases"
"< 1 year","Male","Associate degree (AA,AS)",0,NA,"Cerebrovascular Diseases"
"< 1 year","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Cerebrovascular Diseases"
"< 1 year","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Cerebrovascular Diseases"
"< 1 year","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Cerebrovascular Diseases"
"1-4 years","Female","8th grade or less",63,21990622,"Cerebrovascular Diseases"
"1-4 years","Female","9th through 12th grade with no diploma",0,NA,"Cerebrovascular Diseases"
"1-4 years","Female","High school graduate or GED completed",0,NA,"Cerebrovascular Diseases"
"1-4 years","Female","Some college credit, but not a degree",0,NA,"Cerebrovascular Diseases"
"1-4 years","Female","Associate degree (AA,AS)",0,NA,"Cerebrovascular Diseases"
"1-4 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Cerebrovascular Diseases"
"1-4 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Cerebrovascular Diseases"
"1-4 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Cerebrovascular Diseases"
"1-4 years","Male","8th grade or less",73,22989969,"Cerebrovascular Diseases"
"1-4 years","Male","9th through 12th grade with no diploma",0,NA,"Cerebrovascular Diseases"
"1-4 years","Male","High school graduate or GED completed",0,NA,"Cerebrovascular Diseases"
"1-4 years","Male","Some college credit, but not a degree",0,NA,"Cerebrovascular Diseases"
"1-4 years","Male","Associate degree (AA,AS)",0,NA,"Cerebrovascular Diseases"
"1-4 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Cerebrovascular Diseases"
"1-4 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Cerebrovascular Diseases"
"1-4 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Cerebrovascular Diseases"
